call_id,hcp_id,rep_id,call_date,call_note_raw,call_summary_target,agent_summary,agent_sentiment,agent_topics,agent_next_action,agent_compliance_flag,agent_competitor_flag
CALL_000023,HCP_01081,REP_063,2024-01-18,HCP raised side effect management and mentioned prefers competitor. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised side effect management and mentioned prefers competitor.,"HCP discussed side effect management, preferred competitor, and shared study results.",Medium,"Safety, Efficacy",Share copay info,True,True
CALL_000024,HCP_01096,REP_051,2024-01-14,HCP raised access / prior auth and mentioned formulary restrictions. Discussed study results and aligned on schedule follow-up visit. HCP interest level: medium.,HCP raised access / prior auth and mentioned formulary restrictions.,"HCP discussed access and prior auth issues, and showed medium interest in the product.",Medium,"Access / Prior Auth, Efficacy",Schedule follow-up visit,False,False
CALL_000025,HCP_03299,REP_004,2024-01-04,HCP raised access / prior auth and mentioned needs more data. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised access / prior auth and mentioned needs more data.,"HCP discussed access/prior auth and study results, showing low interest in the product.",Low,"Access / Prior Auth, Efficacy",Send clinical reprint,False,False
CALL_000026,HCP_04844,REP_030,2024-02-28,HCP raised patient support program and mentioned formulary restrictions. Discussed study results and aligned on provide starter kits. HCP interest level: medium.,HCP raised patient support program and mentioned formulary restrictions.,"HCP discussed patient support program, formulary restrictions, and study results, aligning on providing starter kits.",Medium,"Patient Support Program, Access / Prior Auth, Efficacy",Provide starter kits,False,False
CALL_000027,HCP_00971,REP_044,2024-01-24,HCP raised side effect management and mentioned workflow complexity. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised side effect management and mentioned workflow complexity.,"HCP discussed side effect management, workflow complexity, and study results with low interest level.",Low,"Safety, Efficacy",Share copay info,True,False
CALL_000028,HCP_00731,REP_047,2024-01-08,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised patient support program and mentioned no suitable patients yet.,HCP discussed patient support program and study results with low interest level.,Low,"Patient Support Program, Efficacy",Connect with MSL,False,False
CALL_000029,HCP_02002,REP_029,2024-01-22,HCP raised side effect management and mentioned needs more data. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised side effect management and mentioned needs more data.,"HCP discussed side effect management and needs more data, showed low interest in the product.",Low,"Safety, Efficacy",Share copay info,True,False
CALL_000030,HCP_04521,REP_045,2024-01-29,HCP raised access / prior auth and mentioned needs more data. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised access / prior auth and mentioned needs more data.,"HCP discussed access/prior auth and study results, showing low interest in the product.",Low,"Access / Prior Auth, Efficacy",Send clinical reprint,False,False
CALL_000031,HCP_00844,REP_046,2024-01-06,HCP raised new indication and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised new indication and mentioned cost too high.,"HCP discussed new indication, mentioned high cost, and showed high interest in the product.",High,"New Indication, Efficacy",Send clinical reprint,False,False
CALL_000032,HCP_00121,REP_008,2024-01-01,HCP raised safety concern and mentioned formulary restrictions. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised safety concern and mentioned formulary restrictions.,"HCP discussed safety concerns, formulary restrictions, and study results, with a medium interest level in the product.",Medium,"Safety, Access / Prior Auth",Share copay info,False,False
CALL_000033,HCP_03584,REP_018,2024-01-30,HCP raised access / prior auth and mentioned cost too high. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised access / prior auth and mentioned cost too high.,"HCP discussed access and prior auth issues, and showed medium interest in the product.",Medium,"Access / Prior Auth, Efficacy",Share copay info,False,False
CALL_000034,HCP_04421,REP_040,2024-02-05,HCP raised new indication and mentioned workflow complexity. Discussed study results and aligned on schedule follow-up visit. HCP interest level: low.,HCP raised new indication and mentioned workflow complexity.,HCP discussed new indication and workflow complexity with low interest level.,Low,"New Indication, Efficacy",Schedule follow-up visit,False,False
CALL_000035,HCP_03399,REP_065,2024-05-07,HCP raised safety concern and mentioned workflow complexity. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised safety concern and mentioned workflow complexity.,"HCP discussed safety concerns and workflow complexity, with low interest in the product.",Low,"Safety, Access / Prior Auth",Wait for formulary decision,False,False
CALL_000036,HCP_01443,REP_033,2024-01-11,HCP raised safety concern and mentioned formulary restrictions. Discussed study results and aligned on connect with MSL. HCP interest level: medium.,HCP raised safety concern and mentioned formulary restrictions.,"HCP discussed safety concerns, formulary restrictions, and study results, with a medium interest level in the product.",Medium,"Safety, Access / Prior Auth",Connect with MSL,False,False
CALL_000037,HCP_00009,REP_051,2024-04-20,HCP raised new indication and mentioned prefers competitor. Discussed study results and aligned on provide starter kits. HCP interest level: high.,HCP raised new indication and mentioned prefers competitor.,"HCP discussed new indication, prefers competitor, and is interested in starter kits.",High,"New Indication, Efficacy",Provide starter kits,False,True
CALL_000038,HCP_01826,REP_036,2024-02-03,HCP raised side effect management and mentioned prefers competitor. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised side effect management and mentioned prefers competitor.,"HCP discussed side effect management, mentioned competitor, and showed medium interest in the product.",Medium,"Safety, Efficacy",Share copay info,True,True
CALL_000039,HCP_02969,REP_042,2024-02-16,HCP raised side effect management and mentioned formulary restrictions. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised side effect management and mentioned formulary restrictions.,"HCP discussed side effect management, formulary restrictions, and study results, with low interest in the product.",Low,"Safety, Access / Prior Auth",Wait for formulary decision,True,False
CALL_000040,HCP_04837,REP_025,2024-02-23,HCP raised side effect management and mentioned no suitable patients yet. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised side effect management and mentioned no suitable patients yet.,"HCP discussed side effect management and study results, with low interest in the product.",Low,"Safety, Efficacy",Provide starter kits,True,False
CALL_000041,HCP_04168,REP_000,2024-01-11,HCP raised access / prior auth and mentioned workflow complexity. Discussed study results and aligned on wait for formulary decision. HCP interest level: high.,HCP raised access / prior auth and mentioned workflow complexity.,"HCP discussed access/prior auth and study results, awaiting formulary decision with high interest.",High,"Access / Prior Auth, Efficacy",Wait for formulary decision,False,False
CALL_000042,HCP_02883,REP_029,2024-02-02,HCP raised efficacy improvement and mentioned formulary restrictions. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised efficacy improvement and mentioned formulary restrictions.,"HCP discussed efficacy improvement and formulary restrictions, aligning on sending clinical reprint.",High,"Efficacy, Access / Prior Auth",Send clinical reprint,False,False
CALL_000043,HCP_01933,REP_035,2024-01-20,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised patient support program and mentioned no suitable patients yet.,HCP discussed patient support program and study results with high interest level.,High,"Patient Support Program, Efficacy",Send clinical reprint,False,False
CALL_000044,HCP_03201,REP_013,2024-01-31,HCP raised access / prior auth and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised access / prior auth and mentioned cost too high.,"HCP discussed access and prior auth issues, and showed medium interest in the product.",Medium,"Access / Prior Auth, Efficacy",Send clinical reprint,False,False
CALL_000045,HCP_00130,REP_073,2024-02-06,HCP raised patient support program and mentioned prefers competitor. Discussed study results and aligned on connect with MSL. HCP interest level: medium.,HCP raised patient support program and mentioned prefers competitor.,"HCP discussed patient support program, study results, and competitor preference with medium interest level.",Medium,"Patient Support Program, Efficacy",Connect with MSL,False,True
CALL_000046,HCP_00839,REP_028,2024-06-08,HCP raised efficacy improvement and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: high.,HCP raised efficacy improvement and mentioned no suitable patients yet.,HCP discussed efficacy improvement and study results with high interest level.,High,Efficacy,Share copay info,False,False
CALL_000047,HCP_01369,REP_053,2024-02-29,HCP raised efficacy improvement and mentioned workflow complexity. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised efficacy improvement and mentioned workflow complexity.,HCP discussed efficacy improvement and workflow complexity with low interest level.,Low,"Efficacy, Other",Share copay info,False,False
CALL_000048,HCP_03796,REP_056,2024-01-11,HCP raised efficacy improvement and mentioned needs more data. Discussed study results and aligned on wait for formulary decision. HCP interest level: high.,HCP raised efficacy improvement and mentioned needs more data.,"HCP discussed efficacy improvement and needs more data, awaiting formulary decision.",High,Efficacy,Wait for formulary decision,False,False
CALL_000049,HCP_04326,REP_070,2024-01-29,HCP raised access / prior auth and mentioned formulary restrictions. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised access / prior auth and mentioned formulary restrictions.,"HCP discussed access and prior auth, and showed high interest in the product.",High,"Access / Prior Auth, Efficacy",Send clinical reprint,False,False
CALL_000050,HCP_00376,REP_016,2024-03-20,HCP raised patient support program and mentioned needs more data. Discussed study results and aligned on provide starter kits. HCP interest level: medium.,HCP raised patient support program and mentioned needs more data.,"HCP discussed patient support program and study results, aligned on providing starter kits.",Medium,"Patient Support Program, Efficacy",Provide starter kits,False,False
CALL_000051,HCP_04302,REP_012,2024-01-31,HCP raised efficacy improvement and mentioned cost too high. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised efficacy improvement and mentioned cost too high.,"HCP discussed efficacy improvement and cost concerns, aligned on sharing copay information.",Medium,"Efficacy, Access / Prior Auth",Share copay info,False,False
CALL_000052,HCP_01478,REP_064,2024-02-13,HCP raised new indication and mentioned cost too high. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised new indication and mentioned cost too high.,"HCP discussed new indication, cost concerns, and study results, with low interest in the product.",Low,"New Indication, Efficacy",Wait for formulary decision,False,False
CALL_000053,HCP_03683,REP_000,2024-01-09,HCP raised efficacy improvement and mentioned workflow complexity. Discussed study results and aligned on schedule follow-up visit. HCP interest level: low.,HCP raised efficacy improvement and mentioned workflow complexity.,HCP discussed efficacy improvement and workflow complexity with low interest level.,Low,Efficacy,Schedule follow-up visit,False,False
CALL_000054,HCP_01281,REP_055,2024-03-02,HCP raised safety concern and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised safety concern and mentioned cost too high.,"HCP discussed safety concerns and high cost, with low interest in the product.",Low,"Safety, Access / Prior Auth",Send clinical reprint,False,False
CALL_000055,HCP_00511,REP_071,2024-04-04,HCP raised side effect management and mentioned workflow complexity. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised side effect management and mentioned workflow complexity.,"HCP discussed side effect management, workflow complexity, and study results, with high interest in the product.",High,"Safety, Efficacy",Send clinical reprint,True,False
CALL_000056,HCP_04702,REP_079,2024-03-18,HCP raised safety concern and mentioned formulary restrictions. Discussed study results and aligned on share copay info. HCP interest level: high.,HCP raised safety concern and mentioned formulary restrictions.,"HCP discussed safety concerns, formulary restrictions, and study results, with high interest in the product.",High,"Safety, Access / Prior Auth",Share copay info,False,False
CALL_000057,HCP_02278,REP_063,2024-01-20,HCP raised safety concern and mentioned needs more data. Discussed study results and aligned on share copay info. HCP interest level: high.,HCP raised safety concern and mentioned needs more data.,HCP raised safety concern and discussed study results,High,"Safety, Efficacy",Share copay info,False,False
CALL_000058,HCP_01684,REP_020,2024-01-17,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on wait for formulary decision. HCP interest level: medium.,HCP raised patient support program and mentioned no suitable patients yet.,"HCP discussed patient support program and study results, awaiting formulary decision.",Medium,"Patient Support Program, Efficacy",Wait for formulary decision,False,False
CALL_000059,HCP_00585,REP_052,2024-01-17,HCP raised efficacy improvement and mentioned needs more data. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised efficacy improvement and mentioned needs more data.,"HCP discussed efficacy improvement and needs more data, awaiting formulary decision.",Low,Efficacy,Wait for formulary decision,False,False
CALL_000060,HCP_01417,REP_063,2024-02-04,HCP raised new indication and mentioned formulary restrictions. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised new indication and mentioned formulary restrictions.,"HCP discussed new indication, formulary restrictions, and study results with low interest level.",Low,"New Indication, Access / Prior Auth, Efficacy",Provide starter kits,False,False
CALL_000061,HCP_00516,REP_023,2024-02-13,HCP raised efficacy improvement and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised efficacy improvement and mentioned cost too high.,"HCP discussed efficacy improvement and cost concerns, aligning on sending clinical reprints.",High,"Efficacy, Other",Send clinical reprint,False,False
CALL_000062,HCP_03392,REP_005,2024-04-26,HCP raised access / prior auth and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised access / prior auth and mentioned no suitable patients yet.,"HCP discussed access/prior auth and study results, showing medium interest.",Medium,"Access / Prior Auth, Efficacy",Share copay info,False,False
CALL_000063,HCP_04003,REP_010,2024-01-24,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised patient support program and mentioned no suitable patients yet.,"HCP discussed patient support program and study results, showing low interest in the product.",Low,"Patient Support Program, Efficacy",Wait for formulary decision,False,False
CALL_000064,HCP_00708,REP_066,2024-01-01,HCP raised safety concern and mentioned needs more data. Discussed study results and aligned on connect with MSL. HCP interest level: high.,HCP raised safety concern and mentioned needs more data.,HCP raised safety concern and discussed study results with high interest level.,High,"Safety, Efficacy",Connect with MSL,False,False
CALL_000065,HCP_00240,REP_011,2024-02-02,HCP raised patient support program and mentioned cost too high. Discussed study results and aligned on schedule follow-up visit. HCP interest level: high.,HCP raised patient support program and mentioned cost too high.,"HCP discussed patient support program and study results, showing high interest in the product.",High,"Patient Support Program, Efficacy",Schedule follow-up visit,False,False
CALL_000066,HCP_00361,REP_009,2024-06-14,HCP raised access / prior auth and mentioned no suitable patients yet. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised access / prior auth and mentioned no suitable patients yet.,HCP discussed access/prior auth and study results with low interest in the product.,Low,"Access / Prior Auth, Efficacy",Connect with MSL,False,False
CALL_000067,HCP_03348,REP_011,2024-01-29,HCP raised efficacy improvement and mentioned no suitable patients yet. Discussed study results and aligned on provide starter kits. HCP interest level: high.,HCP raised efficacy improvement and mentioned no suitable patients yet.,HCP discussed efficacy improvement and aligned on providing starter kits.,High,Efficacy,Provide starter kits,False,False
CALL_000068,HCP_00134,REP_027,2024-01-30,HCP raised side effect management and mentioned workflow complexity. Discussed study results and aligned on wait for formulary decision. HCP interest level: medium.,HCP raised side effect management and mentioned workflow complexity.,"HCP discussed side effect management, workflow complexity, and study results, with a medium interest level in the product.",Medium,"Safety, Efficacy",Wait for formulary decision,False,False
CALL_000069,HCP_04412,REP_076,2024-02-17,HCP raised access / prior auth and mentioned needs more data. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised access / prior auth and mentioned needs more data.,"HCP discussed access/prior auth and study results, showing medium interest.",Medium,"Access / Prior Auth, Efficacy",Send clinical reprint,False,False
CALL_000070,HCP_02277,REP_038,2024-03-28,HCP raised side effect management and mentioned formulary restrictions. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised side effect management and mentioned formulary restrictions.,"HCP discussed side effect management, formulary restrictions, and study results with low interest in the product.",Low,"Safety, Access / Prior Auth, Efficacy",Share copay info,True,False
CALL_000071,HCP_03994,REP_053,2024-01-09,HCP raised access / prior auth and mentioned workflow complexity. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised access / prior auth and mentioned workflow complexity.,HCP discussed access/prior auth and study results with low interest level.,Low,"Access / Prior Auth, Efficacy",Share copay info,False,False
CALL_000072,HCP_03301,REP_024,2024-01-28,HCP raised new indication and mentioned formulary restrictions. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised new indication and mentioned formulary restrictions.,"HCP discussed new indication, formulary restrictions, and study results with low interest level.",Low,"New Indication, Access / Prior Auth, Efficacy",Share copay info,False,False
CALL_000073,HCP_01137,REP_013,2024-02-02,HCP raised access / prior auth and mentioned workflow complexity. Discussed study results and aligned on wait for formulary decision. HCP interest level: medium.,HCP raised access / prior auth and mentioned workflow complexity.,"HCP discussed access/prior auth and study results, awaiting formulary decision.",Medium,"Access / Prior Auth, Efficacy",Wait for formulary decision,False,False
CALL_000074,HCP_00955,REP_066,2024-02-09,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised patient support program and mentioned no suitable patients yet.,"HCP discussed patient support program and study results, showing medium interest.",Medium,"Patient Support Program, Efficacy",Share copay info,False,False
CALL_000075,HCP_00833,REP_051,2024-01-03,HCP raised side effect management and mentioned formulary restrictions. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised side effect management and mentioned formulary restrictions.,"HCP discussed side effect management and formulary restrictions, showing low interest in the product.",Low,"Safety, Access / Prior Auth",Wait for formulary decision,False,False
CALL_000076,HCP_02249,REP_023,2024-02-12,HCP raised access / prior auth and mentioned workflow complexity. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised access / prior auth and mentioned workflow complexity.,"HCP discussed access/prior auth and study results, showing high interest in the product.",High,"Access / Prior Auth, Efficacy",Send clinical reprint,False,False
CALL_000077,HCP_02810,REP_002,2024-04-29,HCP raised side effect management and mentioned no suitable patients yet. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised side effect management and mentioned no suitable patients yet.,"HCP discussed side effect management and study results, showing low interest in the product.",Low,"Safety, Efficacy",Connect with MSL,False,False
CALL_000078,HCP_00577,REP_006,2024-01-29,HCP raised access / prior auth and mentioned workflow complexity. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised access / prior auth and mentioned workflow complexity.,"HCP discussed access/prior auth and study results, showing medium interest.",Medium,"Access / Prior Auth, Efficacy",Send clinical reprint,False,False
CALL_000079,HCP_03768,REP_045,2024-01-07,HCP raised safety concern and mentioned formulary restrictions. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised safety concern and mentioned formulary restrictions.,"HCP discussed safety concerns and formulary restrictions, with low interest in the product.",Low,"Safety, Access / Prior Auth",Provide starter kits,False,False
CALL_000080,HCP_02350,REP_061,2024-02-21,HCP raised side effect management and mentioned cost too high. Discussed study results and aligned on connect with MSL. HCP interest level: high.,HCP raised side effect management and mentioned cost too high.,"HCP discussed side effect management, cost, and study results, showing high interest in the product.",High,"Safety, Efficacy",Connect with MSL,True,False
CALL_000081,HCP_02779,REP_054,2024-02-21,HCP raised side effect management and mentioned prefers competitor. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised side effect management and mentioned prefers competitor.,"HCP discussed side effect management, prefers competitor, and has low interest in the product.",Low,"Safety, Efficacy",Send clinical reprint,True,True
CALL_000082,HCP_00834,REP_011,2024-01-20,HCP raised patient support program and mentioned formulary restrictions. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised patient support program and mentioned formulary restrictions.,"HCP discussed patient support program, formulary restrictions, and study results with low interest level.",Low,"Patient Support Program, Access / Prior Auth, Efficacy",Connect with MSL,False,False
CALL_000083,HCP_01085,REP_038,2024-01-01,HCP raised access / prior auth and mentioned prefers competitor. Discussed study results and aligned on schedule follow-up visit. HCP interest level: high.,HCP raised access / prior auth and mentioned prefers competitor.,"HCP discussed access/prior auth, study results, and competitor preference with high interest",High,"Access / Prior Auth, Efficacy",Schedule follow-up visit,False,True
CALL_000084,HCP_02895,REP_046,2024-01-18,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised patient support program and mentioned no suitable patients yet.,"HCP discussed patient support program and study results, showing medium interest.",Medium,"Patient Support Program, Efficacy",Share copay info,False,False
CALL_000085,HCP_04487,REP_000,2024-01-12,HCP raised safety concern and mentioned formulary restrictions. Discussed study results and aligned on provide starter kits. HCP interest level: medium.,HCP raised safety concern and mentioned formulary restrictions.,"HCP discussed safety concerns, formulary restrictions, and study results, with a medium interest level in the product.",Medium,"Safety, Access / Prior Auth",Provide starter kits,False,False
CALL_000086,HCP_00092,REP_063,2024-04-01,HCP raised patient support program and mentioned needs more data. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised patient support program and mentioned needs more data.,"HCP discussed patient support program and study results, aligned on providing starter kits with low interest level.",Low,"Patient Support Program, Efficacy",Provide starter kits,False,False
CALL_000087,HCP_02336,REP_060,2024-02-27,HCP raised efficacy improvement and mentioned needs more data. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised efficacy improvement and mentioned needs more data.,"HCP discussed efficacy improvement and needs more data, with low interest level.",Low,Efficacy,Connect with MSL,False,False
