call_id,hcp_id,rep_id,call_date,call_note_raw,call_summary_target
CALL_000032,HCP_00121,REP_008,2024-01-01,HCP raised safety concern and mentioned formulary restrictions. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised safety concern and mentioned formulary restrictions.
CALL_000033,HCP_03584,REP_018,2024-01-30,HCP raised access / prior auth and mentioned cost too high. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised access / prior auth and mentioned cost too high.
CALL_000034,HCP_04421,REP_040,2024-02-05,HCP raised new indication and mentioned workflow complexity. Discussed study results and aligned on schedule follow-up visit. HCP interest level: low.,HCP raised new indication and mentioned workflow complexity.
CALL_000035,HCP_03399,REP_065,2024-05-07,HCP raised safety concern and mentioned workflow complexity. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised safety concern and mentioned workflow complexity.
CALL_000036,HCP_01443,REP_033,2024-01-11,HCP raised safety concern and mentioned formulary restrictions. Discussed study results and aligned on connect with MSL. HCP interest level: medium.,HCP raised safety concern and mentioned formulary restrictions.
CALL_000037,HCP_00009,REP_051,2024-04-20,HCP raised new indication and mentioned prefers competitor. Discussed study results and aligned on provide starter kits. HCP interest level: high.,HCP raised new indication and mentioned prefers competitor.
CALL_000038,HCP_01826,REP_036,2024-02-03,HCP raised side effect management and mentioned prefers competitor. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised side effect management and mentioned prefers competitor.
CALL_000039,HCP_02969,REP_042,2024-02-16,HCP raised side effect management and mentioned formulary restrictions. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised side effect management and mentioned formulary restrictions.
CALL_000040,HCP_04837,REP_025,2024-02-23,HCP raised side effect management and mentioned no suitable patients yet. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised side effect management and mentioned no suitable patients yet.
CALL_000041,HCP_04168,REP_000,2024-01-11,HCP raised access / prior auth and mentioned workflow complexity. Discussed study results and aligned on wait for formulary decision. HCP interest level: high.,HCP raised access / prior auth and mentioned workflow complexity.
CALL_000042,HCP_02883,REP_029,2024-02-02,HCP raised efficacy improvement and mentioned formulary restrictions. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised efficacy improvement and mentioned formulary restrictions.
CALL_000043,HCP_01933,REP_035,2024-01-20,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised patient support program and mentioned no suitable patients yet.
CALL_000044,HCP_03201,REP_013,2024-01-31,HCP raised access / prior auth and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised access / prior auth and mentioned cost too high.
CALL_000045,HCP_00130,REP_073,2024-02-06,HCP raised patient support program and mentioned prefers competitor. Discussed study results and aligned on connect with MSL. HCP interest level: medium.,HCP raised patient support program and mentioned prefers competitor.
CALL_000046,HCP_00839,REP_028,2024-06-08,HCP raised efficacy improvement and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: high.,HCP raised efficacy improvement and mentioned no suitable patients yet.
CALL_000047,HCP_01369,REP_053,2024-02-29,HCP raised efficacy improvement and mentioned workflow complexity. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised efficacy improvement and mentioned workflow complexity.
CALL_000048,HCP_03796,REP_056,2024-01-11,HCP raised efficacy improvement and mentioned needs more data. Discussed study results and aligned on wait for formulary decision. HCP interest level: high.,HCP raised efficacy improvement and mentioned needs more data.
CALL_000049,HCP_04326,REP_070,2024-01-29,HCP raised access / prior auth and mentioned formulary restrictions. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised access / prior auth and mentioned formulary restrictions.
CALL_000050,HCP_00376,REP_016,2024-03-20,HCP raised patient support program and mentioned needs more data. Discussed study results and aligned on provide starter kits. HCP interest level: medium.,HCP raised patient support program and mentioned needs more data.
CALL_000051,HCP_04302,REP_012,2024-01-31,HCP raised efficacy improvement and mentioned cost too high. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised efficacy improvement and mentioned cost too high.
CALL_000052,HCP_01478,REP_064,2024-02-13,HCP raised new indication and mentioned cost too high. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised new indication and mentioned cost too high.
CALL_000053,HCP_03683,REP_000,2024-01-09,HCP raised efficacy improvement and mentioned workflow complexity. Discussed study results and aligned on schedule follow-up visit. HCP interest level: low.,HCP raised efficacy improvement and mentioned workflow complexity.
CALL_000054,HCP_01281,REP_055,2024-03-02,HCP raised safety concern and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised safety concern and mentioned cost too high.
CALL_000055,HCP_00511,REP_071,2024-04-04,HCP raised side effect management and mentioned workflow complexity. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised side effect management and mentioned workflow complexity.
CALL_000056,HCP_04702,REP_079,2024-03-18,HCP raised safety concern and mentioned formulary restrictions. Discussed study results and aligned on share copay info. HCP interest level: high.,HCP raised safety concern and mentioned formulary restrictions.
CALL_000057,HCP_02278,REP_063,2024-01-20,HCP raised safety concern and mentioned needs more data. Discussed study results and aligned on share copay info. HCP interest level: high.,HCP raised safety concern and mentioned needs more data.
CALL_000058,HCP_01684,REP_020,2024-01-17,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on wait for formulary decision. HCP interest level: medium.,HCP raised patient support program and mentioned no suitable patients yet.
CALL_000059,HCP_00585,REP_052,2024-01-17,HCP raised efficacy improvement and mentioned needs more data. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised efficacy improvement and mentioned needs more data.
CALL_000060,HCP_01417,REP_063,2024-02-04,HCP raised new indication and mentioned formulary restrictions. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised new indication and mentioned formulary restrictions.
CALL_000061,HCP_00516,REP_023,2024-02-13,HCP raised efficacy improvement and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised efficacy improvement and mentioned cost too high.
CALL_000062,HCP_03392,REP_005,2024-04-26,HCP raised access / prior auth and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised access / prior auth and mentioned no suitable patients yet.
CALL_000063,HCP_04003,REP_010,2024-01-24,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised patient support program and mentioned no suitable patients yet.
CALL_000064,HCP_00708,REP_066,2024-01-01,HCP raised safety concern and mentioned needs more data. Discussed study results and aligned on connect with MSL. HCP interest level: high.,HCP raised safety concern and mentioned needs more data.
CALL_000065,HCP_00240,REP_011,2024-02-02,HCP raised patient support program and mentioned cost too high. Discussed study results and aligned on schedule follow-up visit. HCP interest level: high.,HCP raised patient support program and mentioned cost too high.
CALL_000066,HCP_00361,REP_009,2024-06-14,HCP raised access / prior auth and mentioned no suitable patients yet. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised access / prior auth and mentioned no suitable patients yet.
CALL_000067,HCP_03348,REP_011,2024-01-29,HCP raised efficacy improvement and mentioned no suitable patients yet. Discussed study results and aligned on provide starter kits. HCP interest level: high.,HCP raised efficacy improvement and mentioned no suitable patients yet.
CALL_000068,HCP_00134,REP_027,2024-01-30,HCP raised side effect management and mentioned workflow complexity. Discussed study results and aligned on wait for formulary decision. HCP interest level: medium.,HCP raised side effect management and mentioned workflow complexity.
CALL_000069,HCP_04412,REP_076,2024-02-17,HCP raised access / prior auth and mentioned needs more data. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised access / prior auth and mentioned needs more data.
CALL_000070,HCP_02277,REP_038,2024-03-28,HCP raised side effect management and mentioned formulary restrictions. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised side effect management and mentioned formulary restrictions.
CALL_000071,HCP_03994,REP_053,2024-01-09,HCP raised access / prior auth and mentioned workflow complexity. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised access / prior auth and mentioned workflow complexity.
CALL_000072,HCP_03301,REP_024,2024-01-28,HCP raised new indication and mentioned formulary restrictions. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised new indication and mentioned formulary restrictions.
CALL_000073,HCP_01137,REP_013,2024-02-02,HCP raised access / prior auth and mentioned workflow complexity. Discussed study results and aligned on wait for formulary decision. HCP interest level: medium.,HCP raised access / prior auth and mentioned workflow complexity.
CALL_000074,HCP_00955,REP_066,2024-02-09,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised patient support program and mentioned no suitable patients yet.
CALL_000075,HCP_00833,REP_051,2024-01-03,HCP raised side effect management and mentioned formulary restrictions. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised side effect management and mentioned formulary restrictions.
CALL_000076,HCP_02249,REP_023,2024-02-12,HCP raised access / prior auth and mentioned workflow complexity. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised access / prior auth and mentioned workflow complexity.
CALL_000077,HCP_02810,REP_002,2024-04-29,HCP raised side effect management and mentioned no suitable patients yet. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised side effect management and mentioned no suitable patients yet.
CALL_000078,HCP_00577,REP_006,2024-01-29,HCP raised access / prior auth and mentioned workflow complexity. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised access / prior auth and mentioned workflow complexity.
CALL_000079,HCP_03768,REP_045,2024-01-07,HCP raised safety concern and mentioned formulary restrictions. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised safety concern and mentioned formulary restrictions.
CALL_000080,HCP_02350,REP_061,2024-02-21,HCP raised side effect management and mentioned cost too high. Discussed study results and aligned on connect with MSL. HCP interest level: high.,HCP raised side effect management and mentioned cost too high.
CALL_000081,HCP_02779,REP_054,2024-02-21,HCP raised side effect management and mentioned prefers competitor. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised side effect management and mentioned prefers competitor.
CALL_000082,HCP_00834,REP_011,2024-01-20,HCP raised patient support program and mentioned formulary restrictions. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised patient support program and mentioned formulary restrictions.
CALL_000083,HCP_01085,REP_038,2024-01-01,HCP raised access / prior auth and mentioned prefers competitor. Discussed study results and aligned on schedule follow-up visit. HCP interest level: high.,HCP raised access / prior auth and mentioned prefers competitor.
CALL_000084,HCP_02895,REP_046,2024-01-18,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised patient support program and mentioned no suitable patients yet.
CALL_000085,HCP_04487,REP_000,2024-01-12,HCP raised safety concern and mentioned formulary restrictions. Discussed study results and aligned on provide starter kits. HCP interest level: medium.,HCP raised safety concern and mentioned formulary restrictions.
CALL_000086,HCP_00092,REP_063,2024-04-01,HCP raised patient support program and mentioned needs more data. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised patient support program and mentioned needs more data.
CALL_000087,HCP_02336,REP_060,2024-02-27,HCP raised efficacy improvement and mentioned needs more data. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised efficacy improvement and mentioned needs more data.
CALL_000088,HCP_00546,REP_011,2024-01-13,HCP raised new indication and mentioned formulary restrictions. Discussed study results and aligned on share copay info. HCP interest level: high.,HCP raised new indication and mentioned formulary restrictions.
CALL_000089,HCP_03956,REP_053,2024-03-09,HCP raised side effect management and mentioned needs more data. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised side effect management and mentioned needs more data.
CALL_000090,HCP_03954,REP_052,2024-01-31,HCP raised new indication and mentioned prefers competitor. Discussed study results and aligned on schedule follow-up visit. HCP interest level: low.,HCP raised new indication and mentioned prefers competitor.
CALL_000091,HCP_02931,REP_070,2024-03-28,HCP raised side effect management and mentioned needs more data. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised side effect management and mentioned needs more data.
CALL_000092,HCP_04658,REP_040,2024-01-19,HCP raised new indication and mentioned workflow complexity. Discussed study results and aligned on connect with MSL. HCP interest level: high.,HCP raised new indication and mentioned workflow complexity.
CALL_000093,HCP_02336,REP_017,2024-03-14,HCP raised patient support program and mentioned needs more data. Discussed study results and aligned on provide starter kits. HCP interest level: high.,HCP raised patient support program and mentioned needs more data.
CALL_000094,HCP_02064,REP_008,2024-01-17,HCP raised safety concern and mentioned cost too high. Discussed study results and aligned on schedule follow-up visit. HCP interest level: high.,HCP raised safety concern and mentioned cost too high.
CALL_000095,HCP_02715,REP_059,2024-01-03,HCP raised patient support program and mentioned prefers competitor. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised patient support program and mentioned prefers competitor.
CALL_000096,HCP_03844,REP_010,2024-01-10,HCP raised efficacy improvement and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised efficacy improvement and mentioned cost too high.
CALL_000097,HCP_04738,REP_066,2024-01-22,HCP raised access / prior auth and mentioned cost too high. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised access / prior auth and mentioned cost too high.
CALL_000098,HCP_03538,REP_058,2024-02-27,HCP raised new indication and mentioned no suitable patients yet. Discussed study results and aligned on connect with MSL. HCP interest level: medium.,HCP raised new indication and mentioned no suitable patients yet.
CALL_000099,HCP_01422,REP_071,2024-01-24,HCP raised efficacy improvement and mentioned formulary restrictions. Discussed study results and aligned on wait for formulary decision. HCP interest level: high.,HCP raised efficacy improvement and mentioned formulary restrictions.
CALL_000100,HCP_04178,REP_018,2024-02-06,HCP raised side effect management and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised side effect management and mentioned cost too high.
CALL_000101,HCP_04852,REP_009,2024-01-25,HCP raised safety concern and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised safety concern and mentioned cost too high.
CALL_000102,HCP_00087,REP_077,2024-01-03,HCP raised side effect management and mentioned workflow complexity. Discussed study results and aligned on share copay info. HCP interest level: high.,HCP raised side effect management and mentioned workflow complexity.
CALL_000103,HCP_03359,REP_068,2024-01-16,HCP raised side effect management and mentioned formulary restrictions. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised side effect management and mentioned formulary restrictions.
CALL_000104,HCP_04205,REP_068,2024-01-08,HCP raised efficacy improvement and mentioned cost too high. Discussed study results and aligned on wait for formulary decision. HCP interest level: medium.,HCP raised efficacy improvement and mentioned cost too high.
CALL_000105,HCP_02178,REP_058,2024-02-05,HCP raised access / prior auth and mentioned prefers competitor. Discussed study results and aligned on schedule follow-up visit. HCP interest level: low.,HCP raised access / prior auth and mentioned prefers competitor.
CALL_000106,HCP_01648,REP_054,2024-01-16,HCP raised patient support program and mentioned workflow complexity. Discussed study results and aligned on provide starter kits. HCP interest level: high.,HCP raised patient support program and mentioned workflow complexity.
CALL_000107,HCP_04775,REP_056,2024-02-15,HCP raised efficacy improvement and mentioned needs more data. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised efficacy improvement and mentioned needs more data.
CALL_000108,HCP_02496,REP_038,2024-09-13,HCP raised access / prior auth and mentioned cost too high. Discussed study results and aligned on wait for formulary decision. HCP interest level: medium.,HCP raised access / prior auth and mentioned cost too high.
CALL_000109,HCP_03542,REP_002,2024-01-22,HCP raised safety concern and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised safety concern and mentioned cost too high.
CALL_000110,HCP_02973,REP_011,2024-01-24,HCP raised efficacy improvement and mentioned formulary restrictions. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised efficacy improvement and mentioned formulary restrictions.
CALL_000111,HCP_01600,REP_008,2024-02-09,HCP raised new indication and mentioned needs more data. Discussed study results and aligned on connect with MSL. HCP interest level: medium.,HCP raised new indication and mentioned needs more data.
CALL_000112,HCP_04735,REP_027,2024-06-06,HCP raised access / prior auth and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised access / prior auth and mentioned no suitable patients yet.
CALL_000113,HCP_01216,REP_027,2024-01-13,HCP raised side effect management and mentioned workflow complexity. Discussed study results and aligned on wait for formulary decision. HCP interest level: high.,HCP raised side effect management and mentioned workflow complexity.
CALL_000114,HCP_02707,REP_032,2024-02-12,HCP raised side effect management and mentioned needs more data. Discussed study results and aligned on schedule follow-up visit. HCP interest level: low.,HCP raised side effect management and mentioned needs more data.
CALL_000115,HCP_04101,REP_006,2024-01-17,HCP raised safety concern and mentioned workflow complexity. Discussed study results and aligned on provide starter kits. HCP interest level: high.,HCP raised safety concern and mentioned workflow complexity.
CALL_000116,HCP_01249,REP_025,2024-01-26,HCP raised patient support program and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised patient support program and mentioned cost too high.
CALL_000117,HCP_02098,REP_049,2024-03-26,HCP raised efficacy improvement and mentioned workflow complexity. Discussed study results and aligned on schedule follow-up visit. HCP interest level: high.,HCP raised efficacy improvement and mentioned workflow complexity.
CALL_000118,HCP_02337,REP_074,2024-02-02,HCP raised access / prior auth and mentioned formulary restrictions. Discussed study results and aligned on schedule follow-up visit. HCP interest level: high.,HCP raised access / prior auth and mentioned formulary restrictions.
CALL_000119,HCP_04873,REP_061,2024-01-17,HCP raised patient support program and mentioned needs more data. Discussed study results and aligned on schedule follow-up visit. HCP interest level: low.,HCP raised patient support program and mentioned needs more data.
CALL_000120,HCP_02684,REP_029,2024-02-01,HCP raised patient support program and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised patient support program and mentioned no suitable patients yet.
CALL_000121,HCP_03131,REP_071,2024-02-12,HCP raised patient support program and mentioned needs more data. Discussed study results and aligned on send clinical reprint. HCP interest level: low.,HCP raised patient support program and mentioned needs more data.
CALL_000122,HCP_00280,REP_059,2024-02-28,HCP raised safety concern and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised safety concern and mentioned cost too high.
CALL_000123,HCP_04834,REP_029,2024-04-04,HCP raised new indication and mentioned cost too high. Discussed study results and aligned on schedule follow-up visit. HCP interest level: low.,HCP raised new indication and mentioned cost too high.
CALL_000124,HCP_01810,REP_057,2024-03-18,HCP raised patient support program and mentioned needs more data. Discussed study results and aligned on provide starter kits. HCP interest level: high.,HCP raised patient support program and mentioned needs more data.
CALL_000125,HCP_04396,REP_027,2024-01-07,HCP raised safety concern and mentioned workflow complexity. Discussed study results and aligned on send clinical reprint. HCP interest level: high.,HCP raised safety concern and mentioned workflow complexity.
CALL_000126,HCP_00476,REP_061,2024-01-17,HCP raised side effect management and mentioned needs more data. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised side effect management and mentioned needs more data.
CALL_000127,HCP_01297,REP_016,2024-01-02,HCP raised efficacy improvement and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: high.,HCP raised efficacy improvement and mentioned no suitable patients yet.
CALL_000128,HCP_04385,REP_018,2024-02-06,HCP raised safety concern and mentioned workflow complexity. Discussed study results and aligned on connect with MSL. HCP interest level: medium.,HCP raised safety concern and mentioned workflow complexity.
CALL_000129,HCP_01995,REP_012,2024-02-12,HCP raised safety concern and mentioned cost too high. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised safety concern and mentioned cost too high.
CALL_000130,HCP_00171,REP_028,2024-01-01,HCP raised safety concern and mentioned needs more data. Discussed study results and aligned on share copay info. HCP interest level: medium.,HCP raised safety concern and mentioned needs more data.
CALL_000131,HCP_04120,REP_058,2024-01-12,HCP raised safety concern and mentioned workflow complexity. Discussed study results and aligned on schedule follow-up visit. HCP interest level: medium.,HCP raised safety concern and mentioned workflow complexity.
CALL_000132,HCP_04478,REP_000,2024-03-26,HCP raised access / prior auth and mentioned formulary restrictions. Discussed study results and aligned on wait for formulary decision. HCP interest level: high.,HCP raised access / prior auth and mentioned formulary restrictions.
CALL_000133,HCP_02760,REP_031,2024-01-02,HCP raised side effect management and mentioned workflow complexity. Discussed study results and aligned on schedule follow-up visit. HCP interest level: high.,HCP raised side effect management and mentioned workflow complexity.
CALL_000134,HCP_01739,REP_011,2024-01-17,HCP raised new indication and mentioned no suitable patients yet. Discussed study results and aligned on share copay info. HCP interest level: low.,HCP raised new indication and mentioned no suitable patients yet.
CALL_000135,HCP_00642,REP_002,2024-01-03,HCP raised access / prior auth and mentioned formulary restrictions. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised access / prior auth and mentioned formulary restrictions.
CALL_000136,HCP_01528,REP_077,2024-01-29,HCP raised new indication and mentioned prefers competitor. Discussed study results and aligned on provide starter kits. HCP interest level: low.,HCP raised new indication and mentioned prefers competitor.
CALL_000137,HCP_00936,REP_046,2024-02-09,HCP raised new indication and mentioned cost too high. Discussed study results and aligned on wait for formulary decision. HCP interest level: low.,HCP raised new indication and mentioned cost too high.
CALL_000138,HCP_02017,REP_071,2024-01-06,HCP raised new indication and mentioned prefers competitor. Discussed study results and aligned on connect with MSL. HCP interest level: low.,HCP raised new indication and mentioned prefers competitor.
CALL_000139,HCP_00629,REP_073,2024-01-09,HCP raised safety concern and mentioned cost too high. Discussed study results and aligned on send clinical reprint. HCP interest level: medium.,HCP raised safety concern and mentioned cost too high.
CALL_000140,HCP_03742,REP_042,2024-05-03,HCP raised patient support program and mentioned needs more data. Discussed study results and aligned on connect with MSL. HCP interest level: medium.,HCP raised patient support program and mentioned needs more data.
